Name,Source,TF,CF,"Majestic BL","Majestic RD","Majestic Topics","Majestic Languages","Site Languages","Ahrefs DR","Ahrefs UR","Ahrefs RD","Ahrefs BL","Ahrefs Traffic","Ahrefs Positions","Ahrefs Cost","Moz DA","Moz PA",Age,"SZ Redirects","SZ Parked","SZ Active History","SZ Score","SZ Drops","Google Index","SEM Traffic","SEM Rank","SEM Keywords","Out Links Internal","Out Links External","Out Domains External","Date Added",Price,Expires
berkshireweb.com,"GoDaddy Auctions",29,21,5579,374,"Business: 26
Recreation/Travel: 25
Arts/Music: 22
Arts: 21
Regional/North America: 20
Society/Religion and Spirituality: 18
Arts/People: 15
Recreation/Pets: 14
Society/Genealogy: 13
Science/Anomalies and Alternative Science: 12","English: 98.5%
Russian: 0.4%
Spanish: 0.4%
German: 0.3%",,37,21,639,15020,0,3,0,42,35,26,38,0,26,3,1,,6048,175,293,0,0,0,09/20/2022,$550,"09/27/2022 21:00:00"
bernalyoga.com,"GoDaddy Auctions",24,14,158,69,"Society/Religion and Spirituality: 24","English: 99.3%
German: 0.6%",,25,28,136,749,0,0,0,34,32,19,46,0,19,3,1,,1486,1209,1288,0,0,0,09/20/2022,$12,"09/29/2022 18:04:00"
faocopemed.org,"GoDaddy Auctions",23,16,233,100,"Society/Government: 23
Society/Work: 14
Business/Food and Related Products: 10","English: 28.6%
Spanish: 26.9%
French: 20.8%
Italian: 15%
Arabic: 4.7%
Portuguese: 1.1%
Galician: 0.8%
Dutch: 0.5%
Catalan: 0.2%
Chinese: 0.2%","English: 99.6%
French: 0.3%",24,19,183,1322,22,287,2,34,34,18,16,0,17,3,4,,1420,11,60,4,0,0,09/20/2022,$12,"09/29/2022 17:47:00"
eldesafiodigital.com,"GoDaddy Auctions",10,16,8427,75,"Games/Video Games/Console Platforms: 10
Games/Video Games/News and Reviews: 9
Games/Video Games/Emulation: 7
Society/Subcultures: 5
Society/People: 5
Computers/News and Media: 5","Spanish: 99.7%
English: 0.1%","English: 100%",2,17,213,9494,0,0,0,33,31,14,60,0,14,4,2,1,13307,78,360,0,1,1,09/15/2022,$300,"09/22/2022 09:00:00"
staffanlindeberg.com,"GoDaddy Auctions",15,18,3712,199,"Sports/Strength Sports: 15
Health/Nutrition: 11
Computers/Internet/On the Web: 11
Health/Conditions and Diseases: 9
Society: 9
Health/Weight Loss: 8
Computers/Internet/Web Design and Development: 7
Society/People: 6","English: 72.3%
Swedish: 11.1%
Polish: 6.2%
Danish: 4.4%
Spanish: 3%
German: 1.4%
Finnish: 0.3%
Portuguese: 0.2%
Dutch: 0.1%
Russian: 0.1%",,29,22,488,6275,0,1,0,38,30,21,6,0,21,4,0,7,2252,4,37,0,0,0,09/15/2022,$17,"09/25/2022 17:12:00"
bloggingaccess.com,"GoDaddy Auctions",16,13,632,50,"Arts/Music: 14
Health/Conditions and Diseases: 14
Reference/Education: 12
Arts/Education: 12
Recreation/Travel: 11
Business/Food and Related Products: 11
Computers/Programming/Development Tools: 11
Computers/Software/Databases: 10
Science/Social Sciences: 10
Computers/Programming/Languages: 10","English: 96.6%
French: 1.2%
Chinese: 0.9%
Vietnamese: 0.9%
Russian: 0.3%",,33,83,6286,15074,0,0,0,52,43,13,87,0,13,4,4,0,66897,15445,55927,0,0,0,09/16/2022,$1000,"09/22/2022 20:01:00"
aaccessmaps.com,"GoDaddy Auctions",21,26,3326,1098,"Reference/Maps: 21
Society/People: 14
Society/Government: 13
Society/Law: 12
Recreation/Travel: 11
Regional/Asia: 10
Reference/Almanacs: 10
Regional/Oceania: 10
Society/History: 9","English: 88.7%
Portuguese: 4.3%
Dutch: 1.2%
Spanish: 0.8%
German: 0.8%
French: 0.7%
Japanese: 0.4%
Arabic: 0.3%
Hungarian: 0.3%
Russian: 0.3%","Indonesian: 72.4%
English: 27.5%",28,20,1470,6231,0,0,0,46,40,22,63,0,22,4,0,,7273,113,3139,1,16,15,09/17/2022,$8000,"09/23/2022 20:00:00"
beetagg.com,"GoDaddy Auctions",47,36,42167,1162,"Computers/Software/Barcode: 47","English: 69.2%
German: 27.4%
Czech: 0.9%
Italian: 0.4%
Spanish: 0.3%
Dutch: 0.2%
Portuguese: 0.1%
French: 0.1%
Swedish: 0.1%
Russian: 0.1%","English: 40.9%
Russian: 21.9%
Dutch: 18%
Turkish: 11.8%
German: 7%",58,26,1494,23503,56,13,1154,51,42,16,139,1,15,4,1,,12694,102,153,79,5,4,09/20/2022,$65,"09/26/2022 21:20:00"
crisismappers.net,"GoDaddy Auctions",19,20,12320,276,"Reference/Maps: 19
Computers/Open Source: 11
Science/Social Sciences: 10
Society/Organizations: 10","Italian: 66.1%
English: 32.7%
Spanish: 0.3%
German: 0.2%
French: 0.1%
Arabic: 0.1%",,49,45,481,4067,0,0,0,47,43,13,123,0,13,5,0,41,35062,9219,9762,0,0,0,09/13/2022,$8100,"09/23/2022 16:31:00"
spinaturecenter.com,"GoDaddy Auctions",31,28,17199,155,"Science/Environment: 31
Regional/North America: 22
News/Newspapers: 21
Arts/Visual Arts: 18
Recreation: 14
Science/Biology: 13","English: 99.8%","English: 100%",32,41,240,15135,441,276,25217,33,36,18,25,0,18,5,0,26,833,459,630,14,5,3,09/15/2022,$2075,"09/25/2022 19:17:00"
coffincouches.com,"GoDaddy Auctions",12,15,400,120,"Arts/Design: 11
Science/Environment: 10
Recreation/Humor: 9
Arts/Architecture: 8
Society/Holidays: 7","English: 81.7%
German: 5.4%
French: 3.3%
Spanish: 2.3%
Italian: 1.8%
Japanese: 1.8%
Portuguese: 1.8%
Russian: 0.7%
Chinese: 0.2%
Czech: 0.2%","English: 100%",16,28,291,1173,4,4,280,38,36,14,7,1,14,5,1,1,4772,1661,3801,0,3,3,09/16/2022,$15,"09/26/2022 19:03:00"
echsonline.org,"GoDaddy Auctions",14,13,184,52,"Recreation/Outdoors: 14
Regional/North America: 8
Sports/Equestrian: 7
Recreation/Climbing: 6
Recreation/Travel: 6","English: 98.8%
Spanish: 1.1%",,17,20,101,372,0,2,0,33,27,18,63,0,18,5,1,,303,96,136,0,0,0,09/17/2022,$12,"09/28/2022 17:57:00"
tasteofhomewylie.com,"Pending Delete",21,10,25,14,"Business: 21","English: 95.6%
Italian: 4.3%","English: 100%",1,22,35,341,0,0,0,31,25,12,0,0,12,5,3,,74,23,25,0,1,1,09/20/2022,,"09/23/2022 17:45:00"
languages-worldwide.com,"GoDaddy Auctions",16,22,1871,1007,"Recreation/Travel: 14
Reference/Education: 14
Arts/Education: 13
Computers/Programming/Development Tools: 11
Computers/Software/Databases: 11
Arts/Music: 11
Computers/Programming/Languages: 11
Shopping/Toys and Games: 10
Society/Philanthropy: 10
Health/Conditions and Diseases: 9","English: 57.6%
German: 15.2%
Czech: 8.4%
French: 5%
Spanish: 3.3%
Dutch: 1.6%
Italian: 1.6%
Japanese: 1.6%
Polish: 1.6%
Portuguese: 1.6%","English: 90.9%
German: 4.7%
French: 1.4%
Guarani: 1.4%
Spanish: 1.4%",3,17,29,104,0,1,0,52,41,19,0,0,19,5,0,3,15327,5372,11267,14,4,3,09/21/2022,$600,"09/27/2022 20:03:00"
tartcity.com,"GoDaddy Auctions",23,14,362,73,"Arts/Literature: 23","English: 87.8%
German: 7.3%
French: 1.6%
Finnish: 0.8%
Dutch: 0.5%
Japanese: 0.5%
Polish: 0.2%
Portuguese: 0.2%
Spanish: 0.2%
Swedish: 0.2%",,36,15,155,3030,0,0,0,32,23,22,82,0,22,6,0,3,1770,172,179,0,0,0,09/13/2022,$185,"09/23/2022 17:29:00"
welararegistry.com,"GoDaddy Auctions",24,13,202,52,"Sports/Equestrian: 24","English: 97.5%
Czech: 1.2%
German: 0.6%
Russian: 0.6%",,13,13,120,751,0,0,0,57,37,19,9,0,19,6,3,4,916,10,10,0,0,0,09/14/2022,$12,"09/24/2022 16:14:00"
terrene.org,"GoDaddy Auctions",15,12,115,34,"Recreation/Outdoors: 14
Science/Environment: 13
Recreation/Travel: 10
Regional/North America: 10
Home/Gardening: 9
Arts/Literature: 8
Reference/Libraries: 7
Society/Issues: 7","English: 69.4%
Spanish: 7.4%
German: 6.4%
French: 5.5%
Italian: 5.5%
Portuguese: 5.5%",,19,6,49,145,0,0,0,55,36,24,1,4,24,6,3,5,182,21,53,0,0,0,09/14/2022,$22,"09/25/2022 17:16:00"
pameladesbarres.net,"GoDaddy Auctions",10,13,240,70,"Arts/Music: 10
Recreation/Food: 8
Society/Politics: 6
Arts/Movies: 6
Arts/Literature: 6
Society/People: 6
Arts/People: 6
Society/Ethnicity: 6","English: 93.6%
Chinese: 2.7%
Spanish: 1.3%
Finnish: 0.9%
French: 0.9%
German: 0.4%",,38,31,156,2316,0,21,0,40,33,13,36,0,13,6,0,9,1232,138,1058,0,0,0,09/14/2022,$115,"09/24/2022 19:49:00"
guitar-masters.com,"GoDaddy Auctions",15,14,442,92,"Arts/Music: 15
Shopping/Music: 11
Business/Business Services: 7
Computers/Internet/On the Web: 6","English: 61.1%
Dutch: 19.8%
Finnish: 8.1%
French: 5%
German: 3.7%
Russian: 0.4%
Spanish: 0.4%
Portuguese: 0.3%
Greek: 0.2%
Serbian: 0.2%","English: 100%",14,27,131,1192,0,0,0,34,33,21,31,0,17,6,3,1,1196,195,1096,0,2,2,09/15/2022,$300,"09/22/2022 09:00:00"
geotenis.com,"GoDaddy Auctions",11,17,860,314,"Regional/South America: 11","Spanish: 81.6%
English: 11.2%
Catalan: 2.8%
Dutch: 2.8%
Occitan: 1.4%","English: 100%",2,6,72,1738,0,0,0,49,38,15,21,1,14,6,1,1,440,203,203,0,2,2,09/16/2022,$250,"09/22/2022 15:02:00"
ldh-toulon.net,"Namecheap Auctions",24,36,42007,1083,"Society/Issues: 24
News/Journalism: 17
Society/History: 16
Society/Law: 12
Science/Educational Resources: 12
Arts: 11
Society/Politics: 11
Society/Ethnicity: 11
Reference/Education: 11
Science/Social Sciences: 11","French: 88.3%
English: 10%
Russian: 1%
Spanish: 0.1%",,49,28,2071,204100,0,0,0,53,43,16,31,2,16,6,2,341,53985,345,7678,0,0,0,09/16/2022,$335,"10/01/2022 16:00:00"
bonsaiweb.com,"Namejet PreRelease",17,15,1544,181,"Home/Gardening: 17
Business: 10
Reference/Education: 8
Society/Future: 8
Sports/Martial Arts: 8
Computers/Internet/On the Web: 7","English: 58.7%
French: 11.9%
Spanish: 10.1%
Turkish: 6.2%
Polish: 4.8%
Danish: 3%
Italian: 1.2%
German: 0.7%
Latin: 0.7%
Dutch: 0.4%",,22,15,217,1445,0,0,0,30,30,26,2,0,17,6,1,,3315,23,2469,0,0,0,09/17/2022,$79,"09/22/2022 18:00:00"
poweo.com,"DropCatch Dropped",11,16,1536,435,"Society/People: 11
Business/Consumer Goods and Services: 10
Home/Do-It-Yourself: 9
Business: 8
Home/Consumer Information: 8
Health/Reproductive Health: 7
Health/Animal: 7
Business/Employment: 7
Society: 6
Science/Technology: 6","French: 87.2%
German: 7.1%
English: 3%
Spanish: 1%
Russian: 0.3%
Basque: 0.2%
Galician: 0.2%
Dutch: 0.1%
Finnish: 0.1%
Italian: 0.1%",,27,14,255,32828,0,0,0,47,32,20,73,0,20,6,1,0,2035,7,20,0,0,0,09/19/2022,$265,"09/22/2022 22:44:42"
leavingmicrosoftbook.com,"DropCatch Dropped",9,16,343,103,"News/Magazines and E-zines: 9
News/Weblogs: 6
Society/Issues: 6
Computers/Data Formats: 6
Science/Social Sciences: 4
Computers/Internet/Domain Names: 2
Computers/Internet/Web Design and Development: 2","English: 86%
Japanese: 2.4%
Tamil: 2.4%
Swedish: 2.1%
Vietnamese: 1.8%
Arabic: 1.5%
Dutch: 0.9%
Indonesian: 0.9%
German: 0.6%
Spanish: 0.6%",,25,15,258,2190,0,0,0,38,34,16,0,0,16,6,1,1,659,11,37,0,0,0,09/19/2022,$60,"09/22/2022 22:44:42"
calypsocrystal.com,"Pending Delete",16,17,851,224,"Recreation/Travel: 16
Regional/Europe: 9
Computers/Systems: 9","English: 59.8%
Spanish: 16.9%
Slovenian: 4.6%
French: 4.3%
German: 3.2%
Italian: 2%
Russian: 1.8%
Dutch: 1.4%
Chinese: 1.2%
Croatian: 0.9%",,31,21,378,1807,0,0,0,41,32,11,41,0,11,6,1,0,2217,22,83,0,0,0,09/20/2022,,"09/23/2022 17:45:00"
toyotacelicaonline.com,"DropCatch Private Seller",11,20,1437,131,"Sports/Motorsports: 11
Recreation/Autos: 7
Games/Video Games/Driving and Racing: 5","English: 74%
German: 4.2%
Spanish: 3.2%
Czech: 2.7%
Portuguese: 2.4%
Italian: 2.4%
Polish: 2.2%
Norwegian: 2%
Slovak: 1.9%
Chinese: 1.2%","English: 100%",8,15,729,5988,0,0,0,32,32,17,0,0,17,6,3,,41537,34,648,0,2,2,09/20/2022,$59,"09/23/2022 21:21:16"
africancolours.net,"Pending Delete",16,15,1034,80,"Arts/Crafts: 16
Shopping/Visual Arts: 12
Arts/Visual Arts: 10
Arts/Directories: 9
News/Magazines and E-zines: 8
Arts: 8
Recreation/Travel: 8
Society/Paranormal: 7
Regional/Middle East: 7
Arts/Art History: 7","English: 48.6%
Dutch: 47.1%
French: 1.2%
Finnish: 1%
German: 0.8%
Spanish: 0.3%
Albanian: 0.1%
Portuguese: 0.1%","English: 100%",19,18,159,3755,0,0,0,32,26,16,42,0,16,6,2,0,2199,6,6,0,1,1,09/21/2022,,"09/24/2022 17:45:00"
weddingclub.org,"GoDaddy Auctions",19,17,777,99,"Reference/Education: 18
Regional/Europe: 17
Computers/Software/Databases: 16
Arts/Music: 15
Health/Conditions and Diseases: 14
Society/Issues: 13
Business/Industrial Goods and Services: 12
Computers/Programming/Development Tools: 12
Arts/Education: 12
Recreation/Food: 12","Ukrainian: 62.8%
Russian: 36.2%
English: 0.7%","English: 99.6%
Russian: 0.3%",17,25,86,6805,0,0,0,54,41,17,31,0,15,6,6,7,4423,2775,4185,93,3,2,09/21/2022,$600,"09/27/2022 20:03:00"
ville-segre.fr,"ccTLD (Country Domains)",24,15,502,136,"Regional/Europe: 24
Recreation/Travel: 10","French: 87.5%
English: 8.4%
German: 1.1%
Japanese: 0.8%
Spanish: 0.8%
Dutch: 0.2%
Finnish: 0.2%
Hungarian: 0.2%
Portuguese: 0.2%
Ukrainian: 0.2%",,24,16,222,954,0,0,0,36,29,21,4,0,20,7,,18,0,0,0,0,0,0,04/01/2022,,
trinidadhostales.com,"Namecheap Auctions",15,20,358,69,"Recreation/Travel: 15
Regional: 9
Arts/Literature: 7
Regional/Caribbean: 7","Polish: 23.1%
Spanish: 12.3%
English: 12%
French: 10.5%
Dutch: 10.2%
Italian: 4.2%
Japanese: 3.3%
German: 2.1%
Romanian: 1.8%
Danish: 1.8%","Spanish: 90.4%
English: 7.3%
Italian: 1%
French: 0.9%
Dutch: 0.1%",26,15,213,1062,3,5,202,36,27,15,28,0,15,7,0,467,1311,15,20,7,0,0,09/08/2022,$15,"09/24/2022 16:00:00"
continuousassurance.org,"GoDaddy Auctions",23,23,42385,119,"Computers/Open Source: 22
Computers/CAD and CAM: 18
Science/Math: 17
Computers/Software/Operating Systems: 16
Computers/Programming/Methodologies: 16
Computers/Software/Internet: 12
Computers/Programming/Compilers: 11
Computers/Software/Groupware: 11
Computers/Software/Office Suites: 11
Computers/Programming/Software Testing: 11","English: 45.1%
German: 11.2%
Chinese: 11.1%
French: 10.8%
Russian: 10.7%
Japanese: 10.7%",,45,40,181,55884,4,120,1156,35,37,9,57,0,9,7,0,192,51737,23,51693,0,0,0,09/13/2022,$1525,"09/24/2022 21:12:00"
personalbrandingbook.com,"GoDaddy Auctions",9,16,347,106,"Society/People: 9
Arts/Writers Resources: 8
Business: 8
Society/Transgender: 6
Games/Gambling: 5
Business/Materials: 5
Business/Construction and Maintenance: 5","English: 86%
Spanish: 5.9%
Dutch: 2%
French: 1.7%
Chinese: 0.8%
German: 0.8%
Danish: 0.5%
Indonesian: 0.5%
Arabic: 0.2%
Greek: 0.2%",,31,35,205,1035,0,1,0,37,36,13,6,0,13,7,0,2,560,390,444,0,0,0,09/14/2022,$275,"09/24/2022 19:00:00"
mychaelknight.com,"GoDaddy Auctions",11,15,907,111,"Society/People: 11","English: 97.8%
Spanish: 0.8%
Finnish: 0.4%
French: 0.4%
German: 0.4%","English: 100%",11,22,128,614,4,1,0,35,31,15,24,0,15,7,1,1,18432,34,42,0,2,2,09/15/2022,$150,"09/22/2022 09:00:00"
chasegarden.org,"GoDaddy Auctions",16,28,5381,204,"Science/Astronomy: 16
Home/Gardening: 14
Business/Real Estate: 11
Reference/Museums: 11
Business/Food and Related Products: 11
Arts: 10
Reference/Libraries: 9
Society/Religion and Spirituality: 8
Reference/Education: 8
Society/Philosophy: 8","English: 96.3%
Polish: 1.5%
French: 0.7%
Danish: 0.3%
German: 0.3%
Romanian: 0.3%
Chinese: 0.1%
Japanese: 0.1%
Latin: 0.1%","English: 50%
Indonesian: 50%",13,31,114,2682,63,4,1974,39,40,20,30,0,20,7,0,2,58360,55,49603,0,0,0,09/15/2022,$15,"09/26/2022 18:33:00"
openomy.com,"GoDaddy Auctions",13,27,81719,856,"Business/Industrial Goods and Services: 12
Arts/Literature: 10
Reference/Education: 9
Computers/Internet/On the Web: 8
Computers/Internet/News and Media: 7
Science/Environment: 7
Computers/Software/Operating Systems: 6
Recreation/Travel: 6
Reference/Libraries: 6
Computers/Internet: 6","English: 95.5%
Italian: 2.1%
Spanish: 1.1%
Chinese: 0.4%
Russian: 0.3%","Indonesian: 100%",27,36,919,22614,0,0,0,47,44,13,20,3,12,7,1,0,596599,703,29609,0,0,0,09/15/2022,$56,"09/25/2022 17:51:00"
roadwiserx.com,"GoDaddy Auctions",16,18,3360,202,"Society/People: 15
Society/Law: 14
Health/Addictions: 13
Health/Medicine: 10
Reference/Education: 8
Recreation/Roads and Highways: 8
Health: 8
Society/Government: 8
Home/Consumer Information: 8
Business: 7","English: 99.7%
Spanish: 0.1%",,51,27,308,729,0,0,0,38,33,10,0,0,10,7,0,,872,72,123,0,0,0,09/17/2022,$300,"09/26/2022 18:24:00"
wynnstay-hotel.com,"GoDaddy Auctions",10,11,55,32,"Society: 10
Regional/Europe: 6","English: 87%
Welsh: 5.5%
Chinese: 3.7%
Dutch: 1.8%
German: 1.8%",,9,1,67,186,0,5,0,33,22,20,17,0,20,7,0,,466984,3,3,0,0,0,09/17/2022,$10,"09/27/2022 21:02:00"
consuladord-ny.net,"GoDaddy Auctions",24,15,202,105,"Society/Government: 24","Spanish: 63.1%
English: 35.7%
Azerbaijani: 0.5%
Portuguese: 0.5%",,28,22,206,686,0,0,0,34,34,8,16,0,8,7,0,,846,221,288,0,0,0,09/17/2022,$15,"09/26/2022 18:34:00"
headhunter.com,"SnapNames Auctions",16,26,13953,369,"Reference/Education: 15
Business: 14
Arts/Music: 13
Science/Agriculture: 12
Society/Law: 10
Business/Textiles and Nonwovens: 9
Business/Employment: 8
Society/People: 8
Science/Technology: 8
Health/Nursing: 8","English: 98.9%
Russian: 0.4%
Spanish: 0.2%","English: 100%",48,27,946,111480,7850,389,1372583,43,40,25,1357,0,23,7,0,57,6927,442,518,1,0,0,09/21/2022,$1150,"09/23/2022 19:15:00"
barakacity.org,"GoDaddy Auctions",14,14,562,54,"Society/Religion and Spirituality: 14","French: 91.7%
English: 5.7%
Arabic: 2.5%",,11,16,104,1121,0,1,0,35,28,10,54,0,10,7,0,8,1230,22,658,0,0,0,09/21/2022,$12,"10/02/2022 16:07:00"
projeqt.com,"DropCatch Dropped",15,22,11299,1067,"Society/Issues: 14
News/Journalism: 11
Reference/Education: 11
Society/Religion and Spirituality: 11
Computers/Hardware: 10
Business/Small Business: 8
Reference: 8
Business/Employment: 8
Computers/Programming/Methodologies: 8
Computers/Internet/On the Web: 8","English: 74.5%
Japanese: 5.9%
French: 4.8%
Spanish: 4.4%
Dutch: 2.7%
German: 1.4%
Italian: 1.2%
Polish: 1%
Portuguese: 0.7%
Russian: 0.7%",,69,41,1719,19912,0,0,0,53,49,21,75,0,18,7,3,2,21003,1263,18343,0,0,0,09/21/2022,$69,"09/24/2022 21:21:42"
buffignecourt.fr,"ccTLD (Country Domains)",9,12,69,34,"Regional/Europe: 9
Recreation/Travel: 7","French: 98.2%
Hungarian: 1.7%","French: 80.8%
English: 19.1%",6,25,64,267,8,13,6,30,26,9,163,0,9,8,,146,0,0,0,65,11,5,04/22/2022,,
tanseycontemporary.com,"GoDaddy Auctions",14,17,304,76,"Arts: 14
Arts/Art History: 8
Arts/Crafts: 7
Recreation/Outdoors: 6
Business/Real Estate: 6","English: 96.5%
German: 3.4%","English: 100%",27,19,141,576,2,1,0,31,33,9,36,0,9,8,0,7,433,74,125,1,0,0,09/12/2022,$185,"09/22/2022 18:19:00"
uberestimate.com,"GoDaddy Auctions",16,17,1348,323,"Recreation/Travel: 16
Society/People: 11
Reference/Knowledge Management: 9","English: 91.6%
Chinese: 4.1%
Dutch: 0.6%
Portuguese: 0.3%
German: 0.3%
Italian: 0.2%
Spanish: 0.2%
Russian: 0.2%
Polish: 0.2%
Japanese: 0.2%",,48,39,568,1736,128,751,19102,47,40,8,27,0,8,8,0,84,2257,545,2232,0,0,0,09/15/2022,$2550,"09/25/2022 18:11:00"
red7salon.com,"GoDaddy Auctions",10,15,447,76,"Business: 9
Sports/Tennis: 8
Science/Environment: 4","English: 98.8%
Polish: 1.1%",,7,28,117,2146,0,0,0,34,33,17,28,0,17,8,1,,2197,119,158,0,1,1,09/17/2022,$189,"09/23/2022 21:07:00"
afaeducation.org,"GoDaddy Auctions",21,19,6825,265,"Reference/Education: 21
Business/Directories: 10
Society/Government: 9","English: 99.5%
Welsh: 0.3%",,53,43,576,54438,0,0,0,40,41,7,80,0,7,8,0,,3384,741,2811,0,0,0,09/17/2022,$255,"09/26/2022 18:51:00"
todomktblog.com,"Pending Delete",13,14,409,218,"Regional/Europe: 13","English: 51.5%
Spanish: 45.2%
Polish: 1.7%
Portuguese: 0.7%
Catalan: 0.2%
French: 0.2%
Italian: 0.2%","Spanish: 50.4%
English: 48.4%
Thai: 0.4%
Vietnamese: 0.2%
Occitan: 0.1%
Portuguese: 0.1%",31,19,553,3815,3,122,3,37,36,9,50,0,9,8,1,113,3709,727,738,15,24,9,09/19/2022,,"09/22/2022 17:45:00"
spinal-injury.net,"DropCatch Dropped",23,15,1438,149,"Health/Conditions and Diseases: 23
Society/Law: 14
News/Media Industry: 10
Recreation/Travel: 9","English: 88%
Persian: 5.5%
German: 3.8%
Dutch: 0.3%
French: 0.3%
Italian: 0.3%
Japanese: 0.3%
Portuguese: 0.3%
Romanian: 0.3%
Russian: 0.3%","English: 29.4%
Catalan: 11.7%
French: 11.7%
German: 11.7%
Italian: 11.7%
Portuguese: 11.7%
Spanish: 11.7%",29,20,466,3475,0,0,0,35,34,20,0,0,18,8,1,0,2043,86,217,4,1,1,09/19/2022,$95,"09/22/2022 22:44:42"
